company,ema50,ema200,ratio,outcome,action,longName,price,regularMarketVolume,marketCap,bookValue,priceToBook,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh
LAOPALA,197.83721364681418,183.11518601223426,-0.07441485534092786,close by,buy,La Opala RG Limited,208.9,70185,23073421312,49.108,4.253889,220861,274253,78.399994,0.60076624,130.5 - 251.85,-42.950012,-0.17053807,130.5,251.85
LAURUSLABS,921.580708856317,607.8036362985633,-0.3404770407435627,close by,buy,Laurus Labs Limited,1182.45,1542690,126976204800,165.532,7.1433315,1997525,1095142,887.44995,3.0083048,295.0 - 1246.0,-63.55005,-0.05100325,295.0,1246.0
LAXMIMACH,3110.420039733943,3174.968073831159,0.020752192074591013,close by,sell,Lakshmi Machine Works Limited,3677.55,31024,39353094144,1554.204,2.3661952,10127,5184,1677.55,0.83877504,2000.0 - 3981.0,-303.44995,-0.07622456,2000.0,3981.0
LEMONTREE,26.960443975977658,34.9775460292657,0.2973653572037411,close by,sell,Lemon Tree Hotels Limited,27.95,772922,22143277056,10.413,2.684145,3970738,2017656,13.900001,0.98932385,14.05 - 69.95,-41.999996,-0.6004288,14.05,69.95
LICHSGFIN,279.0903301515265,317.235127840027,0.13667545438708176,close by,sell,LIC Housing Finance Limited,295.35,2790076,149052227584,362.068,0.81573075,6182631,5969305,110.100006,0.59433204,185.25 - 486.75,-191.4,-0.39322034,185.25,486.75
LINDEINDIA,683.0549857470163,614.5402283531432,-0.1003063572092115,close by,buy,Linde India Limited,710.65,39671,60746506240,261.11,2.7216501,115731,58261,309.65002,0.77219456,401.0 - 801.0,-90.349976,-0.11279647,401.0,801.0
LT,950.0923010947453,1043.1846920653195,0.09798247061186412,close by,sell,Larsen & Toubro Limited,942.5,3127919,1323298193408,475.273,1.9830707,5222180,5210681,281.5,0.42586988,661.0 - 1551.0,-608.5,-0.39232752,661.0,1551.0
LTI,2309.295183469081,1957.2437828898492,-0.1524497184679403,close by,buy,Larsen & Toubro Infotech Limited,2478.6,206168,432309960704,342.126,7.2446995,171060,206152,1268.6001,1.0484298,1210.0 - 2550.0,-71.3999,-0.027999962,1210.0,2550.0
LTTS,1488.62259922611,1435.032764093631,-0.03599961142625322,close by,buy,L&T Technology Services Limited,1563.0,54791,163397582848,282.769,5.5274796,142115,112575,568.0,0.57085425,995.0 - 1780.0,-217.0,-0.12191011,995.0,1780.0
LUPIN,927.7733249300688,840.5032725201728,-0.09406398100147366,close by,buy,Lupin Limited,945.0,2972092,428297617408,276.749,3.4146466,3783538,3576839,440.25,0.87221396,504.75 - 1035.0,-90.0,-0.08695652,504.75,1035.0
LUXIND,1250.6087258687844,1198.4261564462563,-0.04172573591014842,close by,buy,Lux Industries Limited,1349.2,78462,34071347200,196.206,6.8764462,67810,79515,534.99994,0.6570866,814.2 - 1648.9,-299.70007,-0.18175758,814.2,1648.9
M&M,587.3895935613277,531.8151295116486,-0.09461261258091519,close by,buy,Mahindra & Mahindra Limited,632.0,5888295,785696096256,,,6841383,7185690,386.6,1.5753872,245.4 - 656.0,-24.0,-0.036585364,245.4,656.0
