company,current date,start date,current volume,mean volume,action,close price
MHRIL,08-25-2020,27-05-2020,164220.0,73670.95384615385,True,180.3000030517578
MIDHANI,08-25-2020,27-05-2020,1907282.0,1422478.6307692307,True,221.64999389648438
MINDACORP,08-25-2020,27-05-2020,2859118.0,1561910.0,True,79.80000305175781
MINDAIND,08-25-2020,27-05-2020,1058963.0,430393.0307692308,True,360.8500061035156
MINDTREE,08-25-2020,27-05-2020,449764.0,1159393.7692307692,False,1137.3499755859375
MMTC,08-25-2020,27-05-2020,1233087.0,2386446.076923077,False,19.850000381469727
MOIL,08-25-2020,27-05-2020,411147.0,589175.4153846154,False,146.1999969482422
MOTHERSUMI,08-25-2020,27-05-2020,12164326.0,21326057.63076923,False,117.05000305175781
MOTILALOFS,08-25-2020,27-05-2020,102705.0,130421.55384615385,False,700.2000122070312
MPHASIS,08-25-2020,27-05-2020,81728.0,405659.8923076923,False,1181.25
MRF,08-25-2020,27-05-2020,23307.0,14125.36923076923,True,59286.3984375
MRPL,08-25-2020,27-05-2020,1105132.0,2154591.1692307694,False,33.900001525878906
MUTHOOTFIN,08-25-2020,27-05-2020,2688815.0,3656025.446153846,False,1198.199951171875
NAM-INDIA,08-25-2020,27-05-2020,2809085.0,1233298.6307692307,True,278.3500061035156
NATCOPHARM,08-25-2020,27-05-2020,261853.0,528287.5076923077,False,839.0
NATIONALUM,08-25-2020,27-05-2020,11156009.0,17098655.661538463,False,36.95000076293945
NAUKRI,08-25-2020,27-05-2020,239608.0,462493.9846153846,False,3285.25
NAVINFLUOR,08-25-2020,27-05-2020,220280.0,160239.16923076924,True,2145.949951171875
NBCC,08-25-2020,27-05-2020,9562167.0,14824705.430769231,False,28.299999237060547
NBVENTURES,08-25-2020,27-05-2020,1989092.0,732114.4,True,64.8499984741211
NCC,08-25-2020,27-05-2020,11979515.0,25003086.43076923,False,35.79999923706055
NESCO,08-25-2020,27-05-2020,763325.0,167834.04615384617,True,596.7000122070312
NESTLEIND,08-25-2020,27-05-2020,108853.0,145428.56923076924,False,16288.2001953125
NFL,08-25-2020,27-05-2020,952954.0,2996011.8615384614,False,37.54999923706055
NH,08-25-2020,27-05-2020,242837.0,264529.75384615385,False,344.04998779296875
NHPC,08-25-2020,27-05-2020,3666347.0,5916957.738461538,False,22.25
